0,
0.092,1.07553e-15,5,4.94382,0.000561765
0.093,1.51962e-15,5,4.9465,0.000535014
0.094,1.18655e-15,5,4.94905,0.000509537
0.095,1.06859e-15,5,4.95147,0.000485274
0.096,1.1241e-15,5,4.95378,0.000462165
0.097,1.56819e-15,5,4.95598,0.000440157
0.098,1.17961e-15,5,4.95808,0.000419198
0.099,1.36696e-15,5,4.96008,0.000399236
0.1,1.7486e-15,5,4.96198,0.000380224
0.101,7.14706e-16,5,4.96379,0.000362119
0.102,1.38778e-15,5,4.96551,0.000344875
0.103,1.42247e-15,5,4.96715,0.000328452
0.104,1.22125e-15,5,4.96872,0.000312812
0.105,1.82493e-15,5,4.97021,0.000297916
0.106,1.25594e-15,5,4.97163,0.000283729
0.107,1.31145e-15,5,4.97298,0.000270218
0.108,1.44329e-15,5,4.97426,0.000257351
0.109,1.31145e-15,5,4.97549,0.000245096
0.11,1.36002e-15,5,4.97666,0.000233425
0.111,1.49186e-15,5,4.97777,0.000222309
0.112,1.5335e-15,5,4.97883,0.000211723
0.113,9.71445e-16,5,4.97984,0.000201641
0.114,1.11716e-15,5,4.9808,0.000192039
0.115,1.39472e-15,5,4.98171,0.000182894
0.116,1.52656e-15,5,4.98258,0.000174185
0.117,1.33921e-15,5,4.98341,0.000165891
0.118,9.71445e-16,5,4.9842,0.000157991
0.119,1.1241e-15,5,4.98495,0.000150468
0.12,5.82867e-16,5,4.98567,0.000143303
0.121,6.73073e-16,5,4.98635,0.000136479
0.122,6.73073e-16,5,4.987,0.00012998
0.123,1.13104e-15,5,4.98762,0.00012379
0.124,5.06539e-16,5,4.98821,0.000117895
0.125,1.82493e-15,5,4.98877,0.000112281
0.126,1.54737e-15,5,4.98931,0.000106935
0.127,6.17562e-16,5,4.98982,0.000101842
0.128,9.08995e-16,5,4.9903,9.69929e-05
0.129,1.6584e-15,5,4.99076,9.23741e-05
0.13,1.13798e-15,5,4.9912,8.79754e-05
0.131,1.57513e-15,5,4.99162,8.37861e-05
